ANNEE;DISTRICT;CODEDISTR;REGION;CODEREG;POPULATION ELECTORALE;
2025;LAGUNES;09;AGNEBY-TIASSA;16;273 502;
2025;WOROBA;13;BAFING;19;92 295;
2025;SAVANES;11;BAGOUE;20;144 374;
2025;LACS;08;BELIER;21;154 310;
2025;WOROBA;13;BERE;22;122 505;
2025;ZANZAN;14;BOUNKANI;23;89 669;
2025;MONTAGNES;10;CAVALLY;18;133 094;
2025;AUTONOME D'ABIDJAN;01;ABIDJAN;01;2 315 217;
2025;AUTONOME DE YAMOUSSOUKRO;02;YAMOUSSOUKRO;07;159 484;
2025;DENGUELE;05;FOLON;24;49 678;
2025;VALLEE DU BANDAMA;12;GBEKE;04;461 049;
2025;BAS-SASSANDRA;03;GBOKLE;25;70 869;
2025;GOH-DJIBOUA;06;GOH;17;271 391;
2025;ZANZAN;14;GONTOUGO;08;259 541;
2025;LAGUNES;09;GRANDS PONTS;26;150 150;
2025;MONTAGNES;10;GUEMON;27;211 778;
2025;VALLEE DU BANDAMA;12;HAMBOL;28;165 803;
2025;SASSANDRA-MARAHOUE;07;HAUT- SASSANDRA;02;392 124;
2025;LACS;08;IFFOU;29;130 983;
2025;COMOE;04;INDENIE-DJUABLIN;05;159 981;
2025;DENGUELE;05;KABADOUGOU;10;114 742;
2025;LAGUNES;09;LA ME;30;239 752;
2025;GOH-DJIBOUA;06;LOH-DJIBOUA;15;270 361;
2025;SASSANDRA-MARAHOUE;07;MARAHOUE;12;248 502;
2025;LACS;08;MORONOU;33;139 759;
2025;BAS-SASSANDRA;03;NAWA;31;212 496;
2025;LACS;08;N'ZI;11;107 760;
2025;SAVANES;11;PORO;03;368 868;
2025;BAS-SASSANDRA;03;SAN-PEDRO;09;212 005;
2025;COMOE;04;SUD-COMOE;13;278 880;
2025;SAVANES;11;TCHOLOGO;32;160 890;
2025;MONTAGNES;10;TONKPI;06;342 205;
2025;WOROBA;13;WORODOUGOU;14;103 236;
